"시도별","종류별","항목","단위","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"충청남도","논","봄무","","67","39","19","68","54","116","50","33","33","162","291","-","9","92","0","0","4.5552","0","0","0",
"충청남도","논","고랭지무","","","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0",
"충청남도","논","가을무","","34","20","12","30","29","102","75","116","11","3","22","4","11","142","3","31","20.7439","7.9086","3.7562","7.4396",
"충청남도","논","총각무","","","14","6","1","1","3","0","11","1","0","4","4","4","3","0","1",".391","2.0021",".5669",".3766",
"충청남도","논","일반총각무","","","","","","","","","","","","","4","0","0","0","0","0",".0001","0","0",
"충청남도","논","가을총각무","","","","","","","","","","","","","0","4","3","0","1",".391","2.002",".5669",".3766",
"충청남도","논","겨울무","","","","","","","","","","","","0","0","0","","0","0","0","0","0","",
"충청남도","논","기타무","","","","","","","","","","","","","247","201","83","64","2",".0585","0","0","0",
"충청남도","논","당근","","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0",".0227",".2848",".1858",".6478",
"충청남도","논","엽채류","","374","279","273","416","134","524","417","318","172","104","389","291","128","293","48","134","127.3856","31.1641","34.0529","",
"충청남도","논","배추계","","330","259","260","405","130","491","365","317","141","102","375","155","65","198","39","111","89.8223","25.5681","11.4405","",
"충청남도","논","봄배추","","174","162","202","227","70","163","129","49","22","4","145","65","-","4","0","9","7.5608","0","0","0",
"충청남도","논","고랭지배추","","","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0",
"충청남도","논","가을배추","","156","97","58","178","60","328","236","268","119","98","230","90","65","186","39","59","81.5763","25.5681","11.4405","31.5244",
"충청남도","논","겨울배추","","","","","","","","","","","0","0","0","0","","0","0","0","0","0","",
"충청남도","논","기타배추","","","","","","","","","","","","","-","-","8","0","43",".6852","0","0",".0238",
"충청남도","논","시금치","","12","1","2","1","1","0","12","1","1","2","2","0","31","","0","1","1.0568","0",".0146",".0361",
"충청남도","논","상추","","4","5","7","4","1","15","7","0","30","0","2","12","26","15","9","18","25.1978","5.5621","21.8074","20.8896",
"충청남도","논","양배추","","28","14","4","6","2","18","33","0","0","0","10","124","6","80","0","4","11.3087",".0339",".7904","6.9196",
"충청남도","논","조미채소","","726","785","379","448","533","1194","864","856","430","439","636","401","262","729","269","662","520.793","506.7975","549.2647","379.7137",
"충청남도","논","고추","","306","450","192","292","379","730","632","541","291","257","375","266","190","436","191","211","178.8823","114.2415","184.0335","110.7869",
