지역 이름,일 평균상대습도,일 평균기온,일 평균풍속,일 최고기온,일 최저상대습도,일 최저기온,일 강수량,일 누적일조시간,연월일
군산,90.4,2.3,6.7,3.6,32,0.7,43.0,0.0,2001-01-07
군산,73.0,4.1,3.8,8.0,53,1.7,0.0,8.6,2001-01-08
군산,75.8,2.8,6.0,5.5,61,-0.7,7.0,0.0,2001-01-09
군산,50.3,-1.7,3.1,1.4,18,-4.6,,9.1,2001-01-10
대구,35.3,0.6,1.9,5.8,15,-4.9,,8.4,2001-01-01
대구,41.8,4.2,4.0,8.4,29,0.8,0.0,6.5,2001-01-02
대구,41.5,-2.0,3.4,2.4,27,-5.6,,7.9,2001-01-03
대구,37.3,-3.3,3.5,0.4,20,-6.1,,9.0,2001-01-04
대구,38.0,-1.7,3.2,3.0,26,-5.6,,8.9,2001-01-05
대구,51.0,1.0,1.6,4.9,21,-5.6,,5.9,2001-01-06
대구,88.6,5.4,3.5,7.9,60,2.7,15.0,0.0,2001-01-07
대구,74.0,6.2,2.5,11.0,45,3.9,0.0,6.4,2001-01-08
대구,79.8,4.7,2.4,7.5,56,2.7,1.5,0.3,2001-01-09
대구,36.3,0.4,3.0,4.6,14,-2.5,,8.8,2001-01-10
전주,56.4,-1.0,1.7,4.7,23,-8.2,0.0,6.6,2001-01-01
전주,66.8,2.2,2.9,5.9,46,-1.8,0.0,1.4,2001-01-02
전주,67.9,-3.0,1.8,1.6,44,-6.1,0.1,4.7,2001-01-03
전주,60.1,-4.7,2.3,-1.5,35,-7.7,0.6,8.3,2001-01-04
전주,60.6,-4.4,1.2,1.9,35,-9.9,,8.3,2001-01-05
전주,50.4,-0.3,0.7,5.0,24,-7.9,,4.5,2001-01-06
전주,84.8,4.8,2.4,8.4,35,2.1,26.7,0.0,2001-01-07
전주,81.3,5.1,1.0,10.3,61,1.9,0.2,7.9,2001-01-08
전주,79.6,3.8,2.7,7.7,60,-0.9,6.2,0.0,2001-01-09
전주,52.0,-1.4,1.9,2.5,31,-5.1,,8.6,2001-01-10
울산,29.5,1.0,1.4,7.2,11,-5.2,0.0,8.3,2001-01-01
울산,35.0,4.5,3.7,8.9,20,1.6,,6.6,2001-01-02
울산,30.0,-0.5,3.2,3.7,16,-4.4,,7.8,2001-01-03
울산,26.8,-2.0,2.9,1.9,11,-4.1,,9.1,2001-01-04
울산,27.5,-1.4,2.9,3.4,17,-6.9,,9.1,2001-01-05
울산,45.0,2.1,2.2,6.1,23,-4.4,,6.8,2001-01-06
울산,83.0,6.8,3.6,8.0,56,5.4,24.9,0.0,2001-01-07
울산,76.0,6.0,3.1,8.8,61,4.2,0.0,0.9,2001-01-08
울산,81.9,5.6,2.0,8.2,52,3.7,8.1,0.0,2001-01-09
울산,28.9,1.7,2.5,6.7,13,-1.0,,8.8,2001-01-10
창원,29.4,1.5,2.5,5.9,13,-3.6,,7.1,2001-01-01
창원,37.5,5.3,2.9,8.7,22,2.2,,5.2,2001-01-02
창원,36.6,0.6,2.4,4.5,24,-3.4,,6.5,2001-01-03
창원,35.8,-1.7,3.3,1.7,19,-4.3,,7.4,2001-01-04
창원,29.9,-0.8,2.9,3.0,18,-5.1,,7.3,2001-01-05
창원,31.3,2.5,2.4,6.3,12,-2.7,,6.9,2001-01-06
창원,83.4,5.5,2.7,7.9,50,2.4,25.1,0.0,2001-01-07
창원,60.9,7.6,2.6,11.4,51,5.5,,4.7,2001-01-08
창원,73.1,5.7,2.0,9.0,54,4.3,4.8,0.0,2001-01-09
창원,31.6,1.5,2.9,4.5,13,-1.1,,7.1,2001-01-10
광주,54.4,-0.6,2.1,3.8,23,-6.8,0.0,5.6,2001-01-01
광주,61.5,2.3,2.3,6.6,37,0.0,0.0,2.2,2001-01-02
광주,64.4,-1.2,2.5,2.8,42,-4.3,0.0,4.6,2001-01-03
광주,59.5,-3.3,3.0,0.3,36,-6.0,0.6,7.5,2001-01-04
광주,47.0,-2.4,3.7,3.2,29,-6.6,,6.7,2001-01-05
광주,44.9,1.0,3.3,5.0,15,-4.3,0.1,2.4,2001-01-06
광주,84.6,4.9,4.3,8.4,74,0.8,11.8,0.0,2001-01-07
광주,69.0,6.2,2.1,11.4,54,2.2,0.0,5.0,2001-01-08
광주,71.8,3.6,3.9,6.3,58,-0.5,7.5,0.0,2001-01-09
광주,47.6,-0.8,2.4,3.8,21,-3.7,,8.0,2001-01-10
부산,29.8,2.3,5.3,7.9,11,-2.9,,6.9,2001-01-01
부산,44.1,5.7,6.0,9.4,23,2.4,,5.2,2001-01-02
부산,37.9,0.8,3.2,4.6,29,-2.0,,6.1,2001-01-03
부산,35.4,-0.9,3.2,3.4,17,-3.8,,7.7,2001-01-04
부산,30.6,-0.4,2.7,4.7,20,-4.6,,6.9,2001-01-05
부산,48.4,3.3,3.8,8.3,15,-2.6,,5.9,2001-01-06
부산,94.4,7.0,6.2,8.7,66,5.3,30.6,0.0,2001-01-07
부산,73.0,7.7,5.3,11.9,55,5.5,0.0,5.8,2001-01-08
부산,88.8,7.1,3.9,9.1,71,4.0,7.2,0.0,2001-01-09
부산,30.8,2.8,3.4,7.8,16,0.1,,7.5,2001-01-10
통영,37.5,1.9,2.6,6.0,14,-3.1,,8.2,2001-01-01
통영,41.9,5.9,4.0,9.3,25,1.9,,6.3,2001-01-02
통영,40.9,1.4,2.7,4.7,25,-1.0,,7.9,2001-01-03
통영,39.0,-0.1,2.9,4.6,21,-3.3,,9.1,2001-01-04
통영,33.6,-0.1,2.3,5.3,19,-4.2,,8.7,2001-01-05
통영,46.4,2.5,3.0,6.1,19,-2.9,0.4,6.5,2001-01-06
통영,88.5,6.1,3.1,7.7,76,4.2,31.6,0.0,2001-01-07
통영,70.0,6.8,2.3,10.5,54,3.7,,5.3,2001-01-08
통영,81.3,5.8,3.5,7.7,67,2.8,8.5,0.0,2001-01-09
통영,45.4,1.7,2.4,5.9,18,-0.8,,8.8,2001-01-10
목포,64.1,1.0,2.4,5.5,46,-4.6,,7.0,2001-01-01
목포,55.1,4.4,7.8,7.4,37,1.4,0.1,5.5,2001-01-02
목포,71.0,0.1,4.2,2.4,50,-3.1,1.0,4.8,2001-01-03
