지역 이름,일 평균상대습도,일 평균기온,일 평균풍속,일 최고기온,일 최저상대습도,일 최저기온,일 강수량,일 누적일조시간,연월일
인제,63.6,1.5,1.6,4.2,57,-2.4,,2.6,2017-12-22
인제,66.1,3.6,1.9,7.8,44,-0.7,,4.3,2017-12-23
인제,79.3,1.1,1.2,2.5,58,0.0,11.0,0.0,2017-12-24
홍천,74.5,-2.6,0.8,3.0,41,-7.5,,6.7,2017-12-21
홍천,74.8,0.1,0.6,4.8,58,-3.7,,1.8,2017-12-22
홍천,81.4,2.2,0.5,8.3,57,-0.7,,5.5,2017-12-23
홍천,86.6,0.7,1.1,2.0,68,0.1,12.0,0.1,2017-12-24
태백,51.3,-2.6,1.5,2.9,19,-6.1,0.0,6.8,2017-12-21
태백,66.6,-1.2,1.5,3.3,50,-7.0,,6.5,2017-12-22
태백,60.8,2.5,1.7,6.4,41,-2.3,,6.8,2017-12-23
태백,78.1,1.1,1.7,3.9,47,-3.0,4.2,0.2,2017-12-24
정선군,59.1,-1.9,1.7,3.0,30,-6.4,,6.1,2017-12-21
정선군,66.4,-1.3,1.1,4.8,45,-8.1,,3.6,2017-12-22
정선군,72.8,2.5,1.2,7.8,48,-1.2,,5.6,2017-12-23
정선군,,0.4,1.4,2.0,89,-1.4,8.0,0.0,2017-12-24
제천,74.5,-4.0,1.4,3.0,32,-10.4,0.0,8.7,2017-12-21
제천,78.6,-1.8,0.7,4.0,52,-10.4,,2.7,2017-12-22
제천,84.9,0.7,0.6,7.5,60,-2.7,,2.8,2017-12-23
제천,85.4,0.4,1.7,1.7,64,-1.5,12.5,0.0,2017-12-24
보은,74.8,-2.1,1.0,3.5,38,-7.4,0.0,7.1,2017-12-21
보은,77.1,-1.3,0.5,8.5,48,-8.9,,3.1,2017-12-22
보은,85.3,1.1,0.4,10.2,56,-3.8,,2.8,2017-12-23
보은,87.3,1.8,2.0,5.3,64,-0.7,14.5,0.0,2017-12-24
천안,73.6,-1.7,1.0,4.2,31,-6.3,,8.6,2017-12-21
천안,77.4,-0.1,0.9,8.1,46,-6.8,,5.6,2017-12-22
천안,83.3,3.1,0.8,10.4,59,-1.3,,6.1,2017-12-23
천안,86.1,2.8,1.7,6.0,61,0.1,10.7,0.0,2017-12-24
보령,82.8,-0.1,0.7,4.6,41,-4.5,,8.5,2017-12-21
보령,88.3,2.7,1.5,8.1,69,-1.7,,6.1,2017-12-22
보령,95.0,4.4,0.9,10.7,80,-0.1,,7.6,2017-12-23
보령,87.1,5.9,1.5,9.9,68,3.4,17.8,0.0,2017-12-24
부여,93.9,-1.6,0.5,3.4,60,-5.6,,4.7,2017-12-21
부여,86.0,-0.4,0.2,7.7,54,-5.6,,4.9,2017-12-22
부여,92.1,1.0,0.3,11.0,59,-3.9,,5.1,2017-12-23
부여,86.0,3.2,1.6,6.8,61,0.8,17.0,0.0,2017-12-24
금산,80.4,-3.1,0.8,3.6,30,-7.4,,5.3,2017-12-21
금산,76.3,-1.8,0.6,7.5,49,-8.2,,2.9,2017-12-22
금산,79.9,0.8,0.6,11.2,47,-4.9,,6.1,2017-12-23
금산,83.9,2.2,1.7,6.9,66,-0.3,21.5,0.2,2017-12-24
부안,81.9,-0.5,0.4,5.3,51,-4.2,,4.0,2017-12-21
부안,72.3,2.6,1.0,9.2,52,-2.3,,2.4,2017-12-22
부안,79.1,5.2,0.9,13.0,57,0.6,,6.9,2017-12-23
부안,79.5,5.3,2.3,10.1,57,3.0,28.5,0.4,2017-12-24
임실,78.3,-1.8,0.7,5.0,27,-7.6,0.1,4.6,2017-12-21
임실,77.0,-1.4,0.5,7.6,47,-8.4,,2.9,2017-12-22
임실,83.4,0.3,0.5,10.2,55,-6.7,,6.2,2017-12-23
임실,87.4,3.2,1.8,8.9,65,0.0,19.0,0.0,2017-12-24
정읍,82.6,-0.6,0.5,3.8,37,-3.3,0.0,5.0,2017-12-21
정읍,73.8,2.5,0.9,8.5,54,-3.6,,3.9,2017-12-22
정읍,80.8,5.6,0.6,12.6,54,-0.1,,5.8,2017-12-23
정읍,83.5,5.6,2.9,11.3,62,3.4,23.3,0.7,2017-12-24
남원,66.0,-1.1,1.1,5.8,27,-5.5,,5.4,2017-12-21
남원,61.9,-0.4,1.1,8.3,36,-6.8,,6.6,2017-12-22
남원,72.0,1.9,0.9,10.9,45,-5.1,,6.9,2017-12-23
남원,84.3,4.0,1.4,11.0,62,1.2,20.1,0.8,2017-12-24
장수,70.4,-2.8,1.2,4.0,23,-8.4,0.1,8.3,2017-12-21
장수,77.4,-2.7,0.5,5.9,54,-9.4,,2.6,2017-12-22
장수,77.6,0.0,0.6,11.8,36,-7.6,,7.1,2017-12-23
장수,81.3,2.8,2.7,8.5,63,-0.9,25.0,0.1,2017-12-24
고창군,77.0,-0.4,0.8,5.6,28,-4.6,0.0,7.2,2017-12-21
고창군,79.1,1.4,0.6,8.6,50,-4.5,,3.4,2017-12-22
고창군,80.4,4.5,0.5,12.4,50,-1.3,,5.8,2017-12-23
고창군,77.5,6.8,3.2,11.1,58,3.3,23.0,0.2,2017-12-24
영광군,85.1,-0.7,0.9,5.1,51,-4.5,0.5,7.7,2017-12-21
영광군,77.4,1.6,0.8,8.8,52,-4.3,,4.5,2017-12-22
영광군,81.3,4.5,0.8,12.9,48,-2.1,,7.4,2017-12-23
영광군,81.6,6.3,4.5,10.9,59,3.5,27.0,2.3,2017-12-24
김해시,43.3,1.7,1.9,8.6,21,-3.7,,8.9,2017-12-21
김해시,48.8,2.8,1.8,9.2,35,-2.7,,8.5,2017-12-22
김해시,60.1,4.3,1.1,11.9,33,-1.9,,2.7,2017-12-23
김해시,68.4,6.9,2.6,13.0,54,2.5,16.4,1.0,2017-12-24
순창군,,,1.3,6.8,24,-5.6,0.0,5.9,2017-12-21
순창군,76.8,-0.7,1.1,8.6,47,-6.8,,7.0,2017-12-22
순창군,82.8,1.3,0.8,11.8,53,-5.7,,7.1,2017-12-23
순창군,87.5,3.9,2.6,11.2,65,1.3,22.5,1.0,2017-12-24
북창원,49.8,2.0,0.9,8.6,26,-3.2,,8.0,2017-12-21
북창원,53.9,2.6,0.8,9.3,36,-3.0,,8.0,2017-12-22
북창원,60.6,4.1,0.7,11.7,38,-2.0,,6.8,2017-12-23
북창원,67.8,6.5,1.6,13.2,51,3.3,12.5,1.1,2017-12-24
양산시,53.4,1.3,1.6,9.6,28,-4.8,,8.2,2017-12-21
양산시,59.4,2.1,2.0,10.3,38,-3.3,,8.0,2017-12-22
양산시,68.5,3.1,1.1,12.2,37,-3.8,,6.7,2017-12-23
양산시,73.8,7.1,2.2,11.8,48,2.0,16.5,0.4,2017-12-24
보성군,68.0,1.3,1.8,7.5,30,-4.8,,8.6,2017-12-21
보성군,68.6,2.0,1.4,10.2,44,-6.5,,8.7,2017-12-22
보성군,81.1,3.9,1.0,12.9,51,-3.3,,7.3,2017-12-23
보성군,80.8,6.5,2.7,12.9,58,3.7,13.5,2.2,2017-12-24
강진군,,,0.8,5.7,50,-3.4,0.0,1.3,2017-12-21
강진군,79.4,1.4,1.3,10.6,49,-5.4,,7.8,2017-12-22
강진군,82.6,4.9,1.1,13.7,52,-1.9,,6.7,2017-12-23
강진군,80.4,7.2,3.7,13.1,57,4.6,19.0,1.8,2017-12-24
장흥,85.1,0.1,1.0,6.1,26,-5.2,,4.9,2017-12-21
장흥,81.6,0.3,0.5,10.3,48,-7.5,,8.6,2017-12-22
장흥,85.4,4.0,0.6,13.4,47,-3.8,,6.6,2017-12-23
장흥,79.9,7.0,3.2,13.4,58,3.9,18.0,0.9,2017-12-24
해남,87.1,-1.6,0.8,5.9,53,-5.7,,5.8,2017-12-21
해남,80.9,0.3,0.8,10.3,49,-7.3,,8.5,2017-12-22
해남,81.3,4.3,0.7,13.8,45,-3.8,,6.8,2017-12-23
해남,76.3,7.8,4.3,13.0,54,3.8,16.6,1.9,2017-12-24
고흥,71.6,0.6,1.5,7.3,26,-4.5,,7.9,2017-12-21
고흥,77.5,1.2,0.8,9.7,47,-5.7,,7.9,2017-12-22
고흥,83.6,4.5,0.5,13.7,44,-3.0,,7.2,2017-12-23
고흥,77.1,7.2,2.3,12.8,57,4.4,7.3,1.5,2017-12-24
의령군,62.4,-1.3,0.7,10.0,24,-8.1,,8.5,2017-12-21
의령군,66.0,-1.4,0.5,10.1,32,-9.0,,8.4,2017-12-22
의령군,73.0,0.5,0.5,11.2,37,-6.5,,6.5,2017-12-23
의령군,73.5,4.6,2.1,11.8,46,-0.3,12.5,0.6,2017-12-24
함양군,68.5,-0.6,1.6,7.2,30,-6.8,,8.2,2017-12-21
함양군,79.5,-1.4,1.0,8.6,50,-9.3,,6.6,2017-12-22
함양군,79.6,0.6,0.5,13.2,27,-7.1,,7.2,2017-12-23
함양군,84.1,3.4,1.8,11.0,57,-0.2,16.5,0.3,2017-12-24
광양시,57.1,2.6,1.8,9.3,22,-0.7,,9.1,2017-12-21
광양시,56.9,3.6,1.6,10.4,44,-2.1,,8.9,2017-12-22
광양시,74.3,6.1,0.7,12.0,54,1.8,,7.0,2017-12-23
광양시,82.8,6.9,2.7,12.0,62,3.3,9.5,2.1,2017-12-24
진도군,,,0.6,6.5,62,-4.2,,4.7,2017-12-21
진도군,,,0.9,10.0,55,0.4,,3.4,2017-12-22
진도군,86.0,5.9,0.7,13.6,57,-0.7,,6.6,2017-12-23
진도군,78.1,9.0,4.4,13.4,53,5.5,17.5,2.5,2017-12-24
봉화,61.4,-3.2,1.4,5.9,21,-8.7,,8.3,2017-12-21
봉화,70.5,-2.4,1.8,6.7,42,-10.0,,5.5,2017-12-22
봉화,79.3,-0.9,1.0,9.6,43,-7.1,,7.2,2017-12-23
봉화,84.8,0.8,1.4,3.6,54,-3.9,10.5,0.0,2017-12-24
영주,52.4,-0.5,4.0,3.2,26,-5.7,,8.3,2017-12-21
영주,65.4,-0.4,2.2,6.2,44,-8.1,,5.8,2017-12-22
영주,73.4,1.1,2.1,9.5,42,-3.5,,7.3,2017-12-23
영주,80.4,1.2,3.4,4.0,61,-0.9,12.0,0.2,2017-12-24
문경,48.1,0.4,2.2,4.7,22,-4.6,,7.8,2017-12-21
문경,58.9,1.2,1.4,8.5,36,-5.4,,4.1,2017-12-22
문경,69.4,2.4,1.1,10.2,45,-2.4,,3.9,2017-12-23
문경,75.1,1.8,1.9,5.0,48,0.1,13.5,0.0,2017-12-24
청송군,56.4,-3.3,1.6,5.5,24,-10.6,,7.8,2017-12-21
청송군,70.8,-2.7,0.9,7.1,42,-10.8,,7.6,2017-12-22
청송군,76.5,-0.7,0.7,9.6,45,-7.5,,5.9,2017-12-23
청송군,80.6,0.9,1.9,4.5,62,-3.2,10.0,0.0,2017-12-24
영덕,43.8,1.6,3.5,6.9,19,-4.2,,8.3,2017-12-21
영덕,47.1,4.0,3.9,9.0,32,-0.6,,8.2,2017-12-22
영덕,53.3,6.2,2.3,11.6,32,-0.2,,8.0,2017-12-23
영덕,69.0,6.1,2.8,9.5,42,2.7,6.5,0.6,2017-12-24
의성,53.9,-3.3,1.2,7.4,17,-10.3,,8.4,2017-12-21
의성,66.4,-2.8,0.8,8.8,35,-10.8,,5.3,2017-12-22
의성,71.9,-0.4,0.5,11.6,39,-7.9,,7.1,2017-12-23
의성,77.5,1.9,1.4,5.6,53,-2.4,9.5,0.0,2017-12-24
